mlb_id,player_name_fg,team,season,ip,g,gs,era,fip,xfip,siera,xera,whip,k_pct,bb_pct,k_minus_bb_pct,swstr_pct,csw_pct,c_plus_swstr_pct,hr_fb,gb_pct,lob_pct,barrel_pct,hard_hit_pct,avg_ev,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
682243,Bryce Miller,SEA,2024,180.1,31.0,31.0,2.9445472179856282,3.5823762780052792,3.8544157895150137,3.804413556635646,3.6814591077978993,0.9759704526656696,24.29,6.39,0.17897727,10.99,,27.21,0.098591549,38.1,78.21,9.69,41.24,90.33250325520834,105.39031341107867,102.87217201166179,108.39497813411081,54.26456378246143,54.40291356040648,-0.5510525065863756
671922,Cade Smith,CLE,2024,75.1,74.0,0.0,1.9115047474253068,1.4009927546261436,2.4126101284819432,2.1587212387582637,2.497331961244542,0.9026550196175059,35.64,5.88,0.29757786,13.46,,32.25,0.016949152,43.64,79.02,8.43,42.77,90.41646222370427,104.04350515463913,105.86637457044668,108.14058419243983,56.95735162092624,59.74679255574611,-0.7875056089193825
680885,Spencer Schwellenbach,ATL,2024,123.2,21.0,21.0,3.3477089637223516,3.2877735813232136,3.3443858529273034,3.4207714448166087,3.4286303376259455,1.0431267060873994,25.4,4.6,0.208,13.51,,29.68,0.112,41.64,74.52,4.94,39.83,87.60911649816177,107.04770212765958,106.7860531914894,112.52041489361697,53.03768715421303,61.473508224695294,-0.7994382988871226
543135,Nathan Eovaldi,TEX,2024,170.2,29.0,29.0,3.796875226311399,3.8344485681038374,3.473425029652539,3.6356095543423566,3.888923951016343,1.1074219410074915,23.85,6.03,0.17816092,12.96,,28.56,0.146496815,48.33,74.48,7.69,42.62,89.31239331670169,99.710285279574,103.63027006466332,101.3766755420312,44.03325630575678,60.83337938238658,-0.16290916126572627
643377,Griffin Jax,MIN,2024,71.0,72.0,0.0,2.0281692320239895,1.9411275339419682,2.3161196463997125,2.147908752252176,2.380353069292193,0.8732395304547732,34.42,5.43,0.28985507,18.45,,35.67,0.076923076,52.17,77.05,7.93,38.41,88.25093410326087,109.60176194939089,120.0144892221181,129.09900656044996,78.07562514804205,62.29731562559695,-1.5645168576886344
681857,Reese Olson,DET,2024,112.1,22.0,22.0,3.5252227115448953,3.166479778289795,3.7158523464440556,3.934430826474607,3.625634507859583,1.183976314736038,21.72,7.1,0.14623656,12.72,,28.25,0.06930693,50.62,67.61,5.5,43.73,90.18482730263158,93.08510822510823,99.40330086580084,92.70901515151515,42.60188714824798,44.22632611320755,0.6193077088948786
663372,Ryan Feltner,COL,2024,162.1,30.0,30.0,4.490759894298887,4.158266257003266,4.1679836347803185,4.314303782857828,4.375893930183558,1.336755688700766,19.94,7.51,0.12427746,10.47,,26.71,0.115606936,44.92,66.33,6.46,36.77,88.08834196063394,92.98207782101164,99.62359533073925,93.76824124513621,42.86002527906977,51.34225001550387,0.2394288294573644
663903,Brady Singer,KCR,2024,179.2,32.0,32.0,3.7068647738859655,3.9345688755814816,3.6219080661112044,3.8931918390855325,4.708361332938133,1.2745826324622913,22.31,7.09,0.15223097,10.27,,28.36,0.144736842,47.13,77.81,7.95,41.67,88.87244851878613,90.52730834177649,100.01922323539343,91.74074974670722,46.20480837655778,48.895271889525105,0.3126897743347929
680730,Mitchell Parker,WSN,2024,151.0,29.0,29.0,4.291390728476821,3.8485989835878085,4.1714173409619075,4.245875295269778,4.366667728817627,1.304635761589404,20.59,6.66,0.13931889,10.19,,25.58,0.096256684,37.96,67.32,8.12,38.89,89.60807860262008,88.96452877397833,102.27145954962471,90.99167639699749,44.2551885690516,45.57640336106489,0.2887179284525791
592791,Jameson Taillon,CHC,2024,165.1,28.0,28.0,3.266129132736241,3.9225281886454066,4.155232218072615,4.291175715833407,4.042548530046877,1.1310484218919945,18.52,4.89,0.1362963,8.5,,26.74,0.101941747,40.08,76.29,7.17,38.76,89.67224409448819,92.78158383838382,107.91750303030298,99.71453737373741,40.55432714458316,64.61019822795005,-0.24126199758356823
695243,Mason Miller,OAK,2024,65.0,55.0,0.0,2.492307984843091,2.1818642781048703,2.2147326747283302,1.9135996845798815,1.7763250263281847,0.8769231798521987,41.77,8.43,0.33333333,19.61,,34.93,0.113207547,40.65,70.56,5.69,32.52,86.11382113821138,129.13345703124995,92.79435546874997,120.41171875000002,75.06959302439023,53.26193897560977,-0.9193124585365853
605135,Chris Bassitt,TOR,2024,171.0,31.0,31.0,4.157894736842105,4.078760480044181,4.275400760168569,4.314977973980293,4.521185009556146,1.4619883040935673,22.16,9.23,0.1292876,8.73,,27.22,0.101694915,40.28,72.67,7.54,37.1,87.81763527054109,98.20542005420054,97.17287262872625,94.0953048780487,42.84961954851753,48.13535866913747,0.1253602156334232
622491,Luis Castillo,SEA,2024,175.1,30.0,30.0,3.6444867977385083,3.9136280889372825,3.8192348249970838,3.7902529615666625,4.011043964596625,1.1692015548300378,24.34,6.54,0.17802504,11.75,,26.9,0.122549019,39.3,78.29,8.54,41.87,89.72839506172839,103.03595655220738,103.42458304134554,105.13351786965661,49.06357194353963,58.00038140427071,-0.08762306550850525
