pitcher,player_name,xfp_v8_5,xfp_v11,v11_has_pitching_plus,xfp_v8_1,xfp_v8,xfp_v7,xfp_v6,xfp_v5,gs_2026,fp_per_start_actual_2026,k_pct_2026,stuff_xfp,ip_premium,rolling_ip_last5,ip_trend,ip_trend_score,delta_v11_v85
608372,"Sugano, Tomoyuki",6.335169529676123,6.463241502282237,True,6.564127478647121,6.353862974787699,6.38265992823432,,6.467987436221309,6.0,11.233333333333333,0.1603053435114503,6.512559546458094,-0.1809986163106627,5.266666666666667,NORMAL,-0.4104684756967716,0.12807197260611414
608379,"Wacha, Michael",9.948768079255165,9.876021576210404,True,9.69380654710553,9.655725827445156,10.08636905733081,10.469786784645205,10.111183053494862,6.0,14.316666666666665,0.2229729729729729,9.380332627845863,0.5670620119926912,6.466666666666667,HIGH,0.6361127063168627,-0.07274650304476182
608566,"Márquez, Germán",5.451980500505648,5.702959837808988,True,6.232995855553385,5.937684803632077,5.777100509012636,6.160346185819138,5.99671153350092,6.0,4.899999999999998,0.1472868217054263,6.343658231138953,-0.8944598633479943,4.733333333333333,NORMAL,-0.318122565500622,0.25097933730334
615698,"Quantrill, Cal",6.4911288757974495,6.474149192382128,True,6.438073926339148,6.438073926339148,6.593935425612088,6.789452941623333,6.732139741955947,,,,6.848812396416626,-0.3571063281268376,,NORMAL,,-0.016979683415321745
621107,"Eflin, Zach",9.068013961112072,9.068013961112072,False,8.807073773919678,8.807073773919678,9.74019237826672,9.603490361663887,9.780108451728994,,,,7.965379765901167,1.1007368185340418,3.6666666666666665,LOW,-0.6996839193302291,0.0
621111,"Buehler, Walker",8.063190545827403,8.192090544298175,True,8.003747708595924,7.575166354776181,7.221660740836947,6.880158780272168,7.167730368063314,6.0,6.399999999999999,0.2105263157894736,8.567743159918784,-0.5023833852955075,4.0,NORMAL,-0.3523359328649645,0.1288999984707715
621121,"McCullers Jr., Lance",8.61730656251686,8.975861335061843,True,9.55481405216901,8.68905769685096,7.533214024446894,7.798785109187492,7.613844245811579,6.0,8.549999999999997,0.2462686567164179,10.124397754456822,-1.4978477749483687,5.0,NORMAL,-0.3890606324449852,0.35855477254498247
621244,"Berríos, José",9.499340605153272,9.337940405259971,True,8.793559817834998,8.793559817834998,9.099923874050758,9.522278670951968,8.996888660043524,,,,8.633902606880516,0.8678570507888512,,NORMAL,,-0.16140019989330057
622491,"Castillo, Luis",10.13851674911007,10.650497355832401,True,9.57775101187104,10.47516929873876,11.094333911019516,11.129154066678078,10.966840607285494,7.0,3.2428571428571424,0.186335403726708,9.172395517149772,0.9679265299727184,4.266666666666667,NORMAL,-0.119804509826264,0.5119806067223323
622608,"Senzatela, Antonio",2.386443886167612,2.386443886167612,False,4.0422156025046,4.0422156025046,3.302431629858805,3.2665363548844795,3.2528123715733868,,,,4.169015508037585,-1.7923603092435414,,NORMAL,,0.0
622663,"Severino, Luis",9.486366972952183,9.596620689960359,True,8.961320064670726,8.618707577466386,8.727654212786838,9.08112619887014,8.887625410331552,7.0,10.314285714285711,0.2469135802469135,8.844426243412471,0.6460048931201108,5.2,NORMAL,0.1302069854879341,0.11025371700817566
624133,"Suarez, Ranger",13.271013561240094,12.955234173997253,True,12.745723873711874,13.287775506476809,13.603964988895491,13.235987011640065,13.685302693900296,7.0,14.057142857142855,0.2162162162162162,11.336541948163443,1.934144739854716,5.933333333333334,NORMAL,0.1861403022430991,-0.3157793872428414
625643,"López, Reynaldo",8.65769440636048,8.474203767634002,True,8.939484306397494,,,,,,,,9.53824319863512,-0.8754962032655769,4.866666666666667,LOW,-0.4580311644563556,-0.18349063872647875
640455,"Manaea, Sean",12.189634789470839,11.836145581433126,True,11.4204135122698,11.4204135122698,11.731903971671896,12.130822020237051,11.740430041165656,,,,11.174662046902572,1.0271478215969871,,NORMAL,,-0.353489208037713
641154,"López, Pablo",11.982677235406271,11.796220404586844,True,11.465767649580084,11.465767649580084,11.762848697128868,12.174183329849958,11.970919093794244,,,,10.588574381848646,1.3980299218970984,,NORMAL,,-0.1864568308194272
641778,"Lauer, Eric",10.176017133935304,9.64491192083767,True,10.263435485037974,11.444960452232303,11.63116056481772,11.621132632241672,11.564039164568989,5.0,4.899999999999999,0.1626016260162601,10.62417142847554,-0.4459017546355888,4.333333333333333,LOW,-0.6415086967190097,-0.5311052130976339
641793,"Littell, Zack",8.148310268441358,7.45781908296672,True,7.824856115322966,9.0731044093585,9.938842411505483,9.712249632415425,10.022065373612978,5.0,-1.2000000000000004,0.1133333333333333,7.574815971494864,0.5738878315240825,4.866666666666667,NORMAL,-0.0724604059065607,-0.6904911854746381
641816,"Mahle, Tyler",9.73967077233567,9.71166213888608,True,9.860499580254526,10.015794322036625,10.384506855118437,10.392678105555156,10.52886399237309,7.0,8.228571428571428,0.2151898734177215,9.908352868924634,-0.1667259111952095,5.266666666666668,NORMAL,-0.1664454716487649,-0.028008633449589482
641927,"Ober, Bailey",10.006955733684643,9.056877583531625,True,10.043288299557796,9.74074305878347,10.63266412231268,10.836104548921632,10.718293688050734,7.0,10.899999999999997,0.1835443037974683,9.673610344180355,0.3343192608608767,5.533333333333333,NORMAL,0.0467091490623864,-0.9500781501530184
642547,"Peralta, Freddy",13.119029727163534,13.082968779966404,True,13.249449758831194,13.554466645123023,12.883052663811917,13.394169465955722,12.84367325702777,7.0,14.07142857142857,0.2560975609756097,12.76746297954736,0.3501623129053524,5.466666666666667,NORMAL,0.2538261228026157,-0.03606094719713049
645261,"Alcantara, Sandy",10.73894494526366,10.722103077812818,True,9.821702418359084,8.939020469653538,9.63830493558529,10.348020297138197,9.602694394615318,7.0,13.7,0.160621761658031,9.15395433898961,1.5882172915164006,6.8,HIGH,0.4584092928869574,-0.016841867450841264
647336,"Soroka, Michael",11.434686252723601,11.436122835926378,True,11.537226132181631,12.701756803341866,12.121264697972922,12.432289912923723,12.420384516662208,6.0,9.333333333333332,0.2627737226277372,11.324934476560657,0.1175516352421741,5.4,HIGH,0.98973242491812,0.0014365832027767311
